country,brand,listings,sales,sales_rate,avg_price
Italy,Gucci,10073,249,2.4719547304675866,390.2082080810086
Italy,Dolce & Gabbana,8618,123,1.4272453005337664,446.13113947551636
Italy,Prada,5967,186,3.117144293614882,318.5052605999665
Italy,Max Mara,4196,68,1.6205910390848426,235.5377645376549
Italy,Fendi,3721,41,1.1018543402311207,333.60045955388335
Italy,Valentino Garavani,3701,68,1.837341259119157,322.8645312077816
Italy,Burberry,3479,65,1.868352974992814,266.574423684967
Italy,Nike,3426,23,0.6713368359603036,140.88902510215993
Italy,Hermès,2647,65,2.455610124669437,589.0485190782017
Italy,Versace,2624,57,2.1722560975609753,369.61293064024386
Italy,Adidas,2611,34,1.3021830716200689,106.1451512830333
Italy,Dsquared2,2241,45,2.0080321285140563,212.15914770191878
Italy,Tod's,2141,35,1.6347501167678655,173.90388136384865
Italy,Louis Vuitton,1993,45,2.2579026593075766,597.4815855494229
Italy,Saint Laurent,1902,65,3.4174553101997898,514.8825867507886
Italy,Balenciaga,1874,64,3.4151547491995733,426.49132870864463
Italy,Polo Ralph Lauren,1856,45,2.4245689655172415,98.13761853448275
Italy,Hogan,1853,18,0.9713977334052887,125.75382083108474
Italy,Moschino,1845,18,0.975609756097561,156.36177235772357
Italy,D&G,1768,26,1.4705882352941175,170.8028337104072
France,Hermès,4116,106,2.575315840621963,684.0698566569486
France,Gucci,3641,130,3.5704476792090087,405.9305465531448
France,Nike,2723,19,0.6977598237238339,158.37939772309952
France,Burberry,2705,59,2.1811460258780038,259.58981515711645
France,Louis Vuitton,2475,83,3.353535353535354,572.8635555555555
France,Chanel,2382,84,3.5264483627204033,1201.3703190596138
France,Dior,2302,62,2.6933101650738487,490.59013900955694
France,Prada,2080,79,3.798076923076923,328.9876298076923
France,Adidas,1887,49,2.5967143614202435,144.45351351351354
France,Polo Ralph Lauren,1882,45,2.3910733262486716,118.25192879914984
France,Balenciaga,1804,79,4.3791574279379155,452.41730598669625
France,The Kooples,1515,14,0.9240924092409241,125.01676567656766
France,Saint Laurent,1508,46,3.050397877984085,515.4853912466845
France,Sandro,1497,35,2.338009352037408,135.7251503006012
France,Dolce & Gabbana,1381,25,1.8102824040550327,340.05406951484434
France,Dior Homme,1361,43,3.159441587068332,457.39032329169726
France,Lacoste,1296,11,0.8487654320987654,121.18145833333334
France,Celine,1277,38,2.975724353954581,422.0292247454973
France,Yves Saint Laurent,1205,16,1.3278008298755186,259.5571867219917
France,Maje,1193,26,2.179379715004191,125.35640402347025
United States,Gucci,11102,106,0.9547829219960369,496.8839218158889
United States,Louis Vuitton,5001,38,0.7598480303939212,546.5014917016597
United States,Prada,3076,41,1.3328998699609884,417.8346976592979
United States,Burberry,2840,26,0.9154929577464789,319.21996126760564
United States,Chanel,2834,54,1.9054340155257588,1467.219294283698
United States,Versace,2705,27,0.9981515711645103,338.01311275415895
United States,Christian Louboutin,2227,44,1.9757521329142345,583.5854692411315
United States,Hermès,2216,33,1.4891696750902528,861.4212951263538
United States,Dolce & Gabbana,2010,9,0.44776119402985076,366.8000298507463
United States,Fendi,1947,15,0.7704160246533128,402.60507447354905
United States,Saint Laurent,1814,24,1.3230429988974641,492.0662734288864
United States,Salvatore Ferragamo,1747,13,0.7441327990841442,284.21607899255866
United States,Balenciaga,1677,24,1.4311270125223614,521.9898807394156
United States,Valentino Garavani,1598,14,0.8760951188986232,544.4578535669586
United States,Nike,1505,10,0.6644518272425249,158.6064784053156
United States,Coach,1469,4,0.2722940776038121,113.25262083049694
United States,Michael Kors,1390,5,0.3597122302158274,102.56307194244606
United States,Dior,1327,18,1.3564431047475507,527.1526450640542
United States,Bottega Veneta,1320,24,1.8181818181818181,462.1432348484849
United States,Jimmy Choo,1161,8,0.6890611541774333,312.38242032730403
United Kingdom,Gucci,2864,83,2.89804469273743,453.5305831005586
United Kingdom,Prada,2194,52,2.3701002734731085,365.4062351868733
United Kingdom,Burberry,1845,45,2.4390243902439024,365.6844010840109
United Kingdom,Christian Louboutin,1466,52,3.547066848567531,505.4476193724421
United Kingdom,Hermès,1434,26,1.813110181311018,890.5109553695956
United Kingdom,Dolce & Gabbana,1368,31,2.2660818713450293,326.5162865497076
United Kingdom,Chanel,1364,40,2.932551319648094,1286.3398167155426
United Kingdom,Balenciaga,1308,33,2.522935779816514,482.7002828746177
United Kingdom,Saint Laurent,1160,24,2.0689655172413794,561.764275862069
United Kingdom,Louis Vuitton,1113,29,2.605570530098832,771.5875741239892
United Kingdom,Givenchy,998,7,0.7014028056112225,328.1591783567135
United Kingdom,Dior,992,21,2.1169354838709675,588.7803830645162
United Kingdom,Polo Ralph Lauren,968,11,1.1363636363636365,191.98971074380165
United Kingdom,Jimmy Choo,902,30,3.325942350332594,269.4733481152993
United Kingdom,Valentino Garavani,859,34,3.958090803259604,390.97676367869616
United Kingdom,Bottega Veneta,852,17,1.9953051643192488,466.4348356807512
United Kingdom,Alexander McQueen,822,31,3.7712895377128954,378.4599513381995
United Kingdom,Versace,708,17,2.401129943502825,311.6715395480226
United Kingdom,Nike,683,4,0.5856515373352855,170.81161054172765
United Kingdom,Fendi,649,14,2.157164869029276,454.3424036979969
Spain,Burberry,6724,45,0.669244497323022,248.83953152885184
Spain,Gucci,1480,44,2.9729729729729732,385.835277027027
Spain,Prada,1077,22,2.042711234911792,324.5221819870009
Spain,Nike,973,5,0.513874614594039,152.1000102774923
Spain,Yves Saint Laurent,931,9,0.966702470461869,258.3664769065521
Spain,Hermès,906,12,1.3245033112582782,774.918995584989
