country,product_type,listings,sales,sales_rate,avg_price
Germany,Mini dress,600,14,2.3333333333333335,267.23553333333336
Poland,Jacket,2594,26,1.002313030069391,234.65420200462606
Poland,Sweatshirt,1987,25,1.2581781580271767,138.90186713638653
Poland,T-shirt,1735,17,0.9798270893371758,114.9904841498559
Poland,Shirt,1365,20,1.465201465201465,106.76446153846153
Poland,Sunglasses,967,4,0.4136504653567736,236.15726990692863
Poland,Trousers,937,11,1.1739594450373532,138.8971931696905
Poland,Leather trainers,878,11,1.2528473804100226,421.8791685649203
Poland,Silk tie,676,2,0.2958579881656805,69.38612426035503
Poland,Leather boots,609,5,0.8210180623973727,444.2522331691297
Poland,Wool jacket,538,2,0.37174721189591076,263.1428066914498
Poland,Pull,514,5,0.9727626459143969,184.06961089494163
Poland,Mid-length dress,493,6,1.2170385395537524,208.07176470588237
Poland,Hat,444,3,0.6756756756756757,121.09576576576578
Poland,Straight jeans,419,6,1.431980906921241,124.90921241050121
Poland,Polo shirt,395,12,3.0379746835443036,89.13040506329115
Japan,Watch,4425,5,0.11299435028248588,3203.340833898305
Japan,Leather wallet,1503,2,0.1330671989354624,417.662129075183
Japan,Jacket,768,0,0.0,874.3824869791666
Japan,T-shirt,731,1,0.13679890560875513,269.7296306429549
Japan,Shirt,575,0,0.0,397.70012173913045
Japan,Purse,510,0,0.0,161.91345098039216
Japan,Trousers,455,0,0.0,359.5667912087912
Japan,Leather purse,452,0,0.0,487.4150884955752
Japan,Silk scarf,425,0,0.0,305.47917647058824
Japan,Cloth wallet,420,0,0.0,413.9118571428571
Japan,Wool jacket,369,1,0.27100271002710025,754.4056368563686
Japan,Hat,329,0,0.0,489.27534954407304
Japan,Wool trousers,291,0,0.0,268.7317525773196
Japan,Sweatshirt,286,0,0.0,535.8006643356644
Japan,Speedmaster watch,242,0,0.0,3541.880991735537
Romania,Jacket,985,11,1.116751269035533,281.2740203045685
Romania,Sunglasses,829,5,0.6031363088057901,204.51021712907118
Romania,T-shirt,672,12,1.7857142857142856,135.08096726190473
Romania,Leather boots,610,5,0.819672131147541,317.75052459016393
Romania,Leather low trainers,520,5,0.9615384615384616,277.9984038461538
Romania,Shirt,491,9,1.8329938900203666,119.66572301425661
Romania,Leather flats,451,6,1.3303769401330376,277.6580487804878
Romania,Silk tie,427,0,0.0,68.85644028103044
Romania,Sweatshirt,417,10,2.3980815347721824,176.51539568345328
Romania,Leather trainers,376,7,1.8617021276595744,284.8573936170213
Romania,Leather heels,366,4,1.092896174863388,273.3887978142077
Romania,Leather sandal,363,7,1.9283746556473829,249.97823691460056
Romania,Trousers,341,4,1.1730205278592376,162.70061583577714
Romania,Leather lace ups,338,5,1.4792899408284024,300.34396449704144
Romania,Watch,290,1,0.3448275862068966,481.8326896551724
Hong Kong,Jacket,635,7,1.1023622047244095,1680.129496062992
Hong Kong,Leather wallet,573,3,0.5235602094240838,283.66294938917974
Hong Kong,Sunglasses,408,2,0.49019607843137253,206.17916666666667
Hong Kong,Silk tie,398,2,0.5025125628140703,97.6547487437186
Hong Kong,T-shirt,394,9,2.284263959390863,452.90619289340094
Hong Kong,Shirt,349,4,1.146131805157593,362.87441260744987
Hong Kong,Leather flats,318,4,1.257861635220126,348.10100628930815
Hong Kong,Watch,270,0,0.0,1996.4344074074074
Hong Kong,Leather purse,268,2,0.7462686567164178,333.0729104477612
Hong Kong,Leather boots,252,2,0.7936507936507936,510.06376984126985
Hong Kong,Silk scarf,250,1,0.4,354.56620000000004
Hong Kong,Leather belt,250,0,0.0,411.62364
Hong Kong,Leather lace ups,243,3,1.2345679012345678,340.5304526748971
Hong Kong,Leather heels,233,2,0.8583690987124464,318.45120171673824
Hong Kong,Trousers,212,2,0.9433962264150944,328.07287735849053
