season_standardized,brand_tier,sold_count,sold_sum,sold_mean,price_usd_mean,price_usd_median,price_usd_std,product_like_count_mean,product_like_count_median,product_like_count_sum,demand_index,conversion_rate
All Seasons,luxury,105973,1790,0.016891094901531522,347.6770408500278,230.04,563.6201703171579,7.180055297103979,3.0,760892.0,7.180055297103979,1.69
All Seasons,premium,43173,593,0.013735436499664142,148.06594121325827,95.85,195.68088627263276,4.046139948578973,2.0,174684.0,4.046139948578973,1.37
All Seasons,standard,476504,6626,0.013905444655238991,369.47632221345464,127.8,2413.2433480749205,4.94917566274365,2.0,2358302.0,4.94917566274365,1.39
All Seasons,ultra_luxury,122460,2481,0.02025967662910338,604.9186047689042,345.06,1301.0128059462224,11.113506451086069,6.0,1360960.0,11.113506451086069,2.03
Fall/Winter,luxury,18806,194,0.010315856641497395,391.96726842497077,222.37,1161.7421958103878,6.947357226417101,4.0,130652.0,6.947357226417101,1.03
Fall/Winter,premium,5837,70,0.011992461881103306,187.69479698475246,121.41,222.18641811160126,5.717663183142025,3.0,33374.0,5.717663183142025,1.2
Fall/Winter,standard,74541,759,0.01018231577252787,293.5064200909566,153.36,570.9980400752337,5.5511865952965485,2.0,413791.0,5.5511865952965485,1.02
Fall/Winter,ultra_luxury,15032,199,0.013238424693986162,821.812404204364,421.74,1338.8216572907133,11.929151144225653,7.0,179319.0,11.929151144225653,1.32
Spring/Summer,luxury,4658,139,0.029841133533705454,351.4716466294547,288.83,281.39121540480613,7.691713181623014,4.0,35828.0,7.691713181623014,2.98
Spring/Summer,premium,2005,41,0.020448877805486283,171.15615461346636,116.34,161.0896501078895,4.3740648379052365,2.0,8770.0,4.3740648379052365,2.04
Spring/Summer,standard,24659,587,0.023804696054179002,254.20217283750355,127.8,369.94324236754437,5.592400340646417,2.0,137903.0,5.592400340646417,2.38
Spring/Summer,ultra_luxury,6866,257,0.03743081852607049,590.6890343722691,440.91,599.5501704377084,11.25196621031168,7.0,77256.0,11.25196621031168,3.74
